Account ID,Risk Score,Cluster,Risk Level
0,3.02,3,Low
1,4.14,3,Low
2,3.77,3,Low
3,5.43,3,Low
4,1.76,3,Low
5,13.68,0,Low
6,16.03,2,Low
7,12.83,0,Low
8,5.35,3,Low
9,12.03,3,Low
10,17.55,3,Low
11,23.4,3,Low
12,1.34,3,Low
13,4.48,2,Low
14,21.43,2,Low
15,4.92,3,Low
16,17.29,0,Low
17,3.05,3,Low
18,3.35,3,Low
19,6.91,3,Low
20,16.55,3,Low
21,4.31,3,Low
22,17.24,3,Low
23,5.7,2,Low
24,5.42,3,Low
25,10.85,0,Low
26,6.85,3,Low
27,9.47,3,Low
28,9.02,2,Low
29,19.84,1,Low
30,29.66,0,Low
31,13.38,3,Low
32,4.17,3,Low
33,12.14,2,Low
34,29.13,0,Low
35,5.8,3,Low
36,6.66,2,Low
37,28.04,3,Low
38,24.43,3,Low
39,16.81,3,Low
40,6.3,0,Low
41,30.32,3,Low
42,12.15,3,Low
43,1.7,3,Low
44,9.68,3,Low
45,5.8,2,Low
46,3.52,3,Low
47,22.08,3,Low
48,48.67,2,Medium
49,6.08,3,Low
50,7.61,3,Low
51,16.35,3,Low
52,16.18,3,Low
53,8.99,3,Low
54,18.08,3,Low
55,27.17,2,Low
56,9.24,2,Low
57,27.81,2,Low
58,3.15,3,Low
59,7.19,3,Low
60,8.66,3,Low
61,11.02,3,Low
62,11.96,3,Low
63,37.47,3,Low
64,5.66,2,Low
65,20.55,3,Low
66,6.3,2,Low
67,8.52,3,Low
68,5.3,3,Low
69,3.8,3,Low
70,12.6,3,Low
71,13.6,3,Low
72,3.26,3,Low
73,19.84,3,Low
74,18.44,3,Low
75,1.68,2,Low
76,3.92,2,Low
77,3.62,3,Low
78,2.56,3,Low
79,9.25,0,Low
80,5.26,3,Low
81,4.1,2,Low
82,3.32,3,Low
83,3.55,3,Low
84,5.01,3,Low
85,15.72,2,Low
86,7.82,3,Low
87,4.37,3,Low
88,3.99,3,Low
89,1.68,3,Low
90,9.16,3,Low
91,3.8,3,Low
92,43.0,0,Medium
93,14.24,3,Low
94,6.7,2,Low
95,24.93,3,Low
96,35.88,3,Low
97,12.66,3,Low
98,13.01,3,Low
99,39.67,1,Low
100,6.76,3,Low
101,1.38,3,Low
102,7.79,3,Low
103,6.03,3,Low
104,11.17,3,Low
105,2.12,3,Low
106,14.51,3,Low
107,15.04,3,Low
108,14.2,3,Low
109,4.37,3,Low
110,18.51,3,Low
111,7.84,3,Low
112,2.03,3,Low
113,13.71,0,Low
114,11.47,3,Low
115,22.42,0,Low
116,14.31,0,Low
117,3.0,3,Low
118,11.15,3,Low
119,16.81,2,Low
120,6.61,3,Low
121,7.79,0,Low
122,41.03,3,Medium
123,10.96,3,Low
124,10.86,3,Low
125,16.66,3,Low
126,14.53,0,Low
127,3.2,3,Low
128,8.35,0,Low
129,37.44,0,Low
130,5.32,3,Low
131,9.27,3,Low
132,7.65,3,Low
133,15.58,0,Low
134,12.23,2,Low
135,3.68,3,Low
136,2.78,3,Low
137,30.11,3,Low
138,3.63,3,Low
139,14.19,3,Low
140,7.55,3,Low
141,13.65,2,Low
142,3.12,3,Low
143,9.89,3,Low
144,9.15,3,Low
145,8.66,3,Low
146,3.45,3,Low
147,5.93,3,Low
148,13.37,0,Low
149,4.72,2,Low
150,9.22,3,Low
151,16.29,0,Low
152,14.14,3,Low
153,14.13,3,Low
154,18.95,3,Low
155,17.65,3,Low
156,3.36,3,Low
157,8.27,3,Low
158,17.01,3,Low
159,9.15,3,Low
160,3.99,2,Low
161,7.91,3,Low
162,6.01,2,Low
163,4.29,2,Low
164,7.16,3,Low
165,12.61,3,Low
166,4.66,3,Low
167,7.02,2,Low
168,13.09,3,Low
169,27.85,1,Low
170,12.66,3,Low
171,2.32,3,Low
172,6.82,3,Low
173,15.53,3,Low
174,5.85,3,Low
175,9.74,3,Low
176,1.79,3,Low
177,7.32,3,Low
178,6.49,2,Low
179,5.22,3,Low
180,24.09,3,Low
181,3.6,3,Low
182,11.59,3,Low
183,11.72,2,Low
184,5.02,3,Low
185,10.3,3,Low
186,15.06,3,Low
187,6.84,3,Low
188,11.3,0,Low
189,5.03,3,Low
190,7.41,2,Low
191,11.23,2,Low
192,15.52,3,Low
193,4.26,3,Low
194,3.36,3,Low
195,27.19,2,Low
196,9.9,3,Low
197,37.44,3,Low
198,0.84,3,Low
199,3.84,2,Low
200,22.98,3,Low
201,11.39,3,Low
202,2.3,3,Low
203,5.64,3,Low
204,13.55,3,Low
205,8.99,3,Low
206,8.49,3,Low
207,2.46,3,Low
208,10.29,3,Low
209,23.71,2,Low
210,23.12,3,Low
211,4.61,3,Low
212,24.95,0,Low
213,30.62,0,Low
214,25.46,2,Low
215,4.3,3,Low
216,6.81,3,Low
217,12.09,3,Low
218,11.04,2,Low
219,14.18,3,Low
220,7.58,2,Low
221,4.94,3,Low
222,9.44,3,Low
223,8.11,3,Low
224,9.83,3,Low
225,14.65,3,Low
226,7.49,3,Low
227,16.68,2,Low
228,26.94,0,Low
229,8.6,3,Low
230,20.89,0,Low
231,3.03,3,Low
232,13.29,3,Low
233,4.07,3,Low
234,15.12,3,Low
235,8.85,3,Low
236,19.15,3,Low
237,5.11,3,Low
238,2.8,3,Low
239,5.23,3,Low
240,28.69,3,Low
241,8.42,2,Low
242,5.62,3,Low
243,12.41,3,Low
244,8.63,3,Low
245,5.57,3,Low
246,30.63,3,Low
247,2.5,3,Low
248,8.25,3,Low
249,17.84,2,Low
250,9.0,3,Low
251,4.2,3,Low
252,7.26,3,Low
253,3.76,3,Low
254,7.44,3,Low
255,3.94,3,Low
256,9.38,2,Low
257,8.03,0,Low
258,3.57,3,Low
259,11.92,3,Low
260,9.26,3,Low
261,11.93,3,Low
262,9.06,3,Low
263,0.77,3,Low
264,8.41,3,Low
265,7.14,3,Low
266,3.85,3,Low
267,3.17,3,Low
268,10.33,3,Low
269,6.37,3,Low
270,21.99,0,Low
271,7.09,3,Low
272,27.67,0,Low
273,1.39,3,Low
274,11.1,3,Low
275,7.22,3,Low
276,15.05,3,Low
277,3.44,3,Low
278,1.09,3,Low
279,4.02,3,Low
280,13.85,3,Low
281,3.68,3,Low
282,9.68,3,Low
283,10.23,3,Low
284,15.29,3,Low
285,5.33,3,Low
286,3.99,3,Low
287,8.66,3,Low
288,10.56,3,Low
289,8.5,3,Low
290,12.6,3,Low
291,5.33,3,Low
292,3.53,3,Low
293,2.63,3,Low
294,5.4,2,Low
295,12.16,3,Low
296,6.26,3,Low
297,4.37,3,Low
298,22.03,0,Low
299,2.08,3,Low
300,15.68,0,Low
301,10.44,0,Low
302,21.46,0,Low
303,0.87,3,Low
304,1.7,3,Low
305,7.33,0,Low
306,9.94,2,Low
307,4.46,3,Low
308,13.27,3,Low
309,10.16,2,Low
310,5.75,3,Low
311,14.58,0,Low
312,20.22,3,Low
313,7.66,3,Low
314,5.24,3,Low
315,7.56,3,Low
316,26.25,3,Low
317,16.41,3,Low
318,0.78,3,Low
319,4.42,3,Low
320,3.49,3,Low
321,3.27,3,Low
322,6.69,3,Low
323,8.85,3,Low
324,21.76,3,Low
325,28.93,0,Low
326,37.22,3,Low
327,3.73,3,Low
328,9.77,2,Low
329,26.85,3,Low
330,30.18,3,Low
331,11.55,3,Low
332,3.8,3,Low
333,6.94,3,Low
334,1.5,3,Low
335,4.07,3,Low
336,4.68,3,Low
337,8.94,3,Low
338,11.13,2,Low
339,6.24,3,Low
340,16.95,3,Low
341,1.02,3,Low
342,2.67,3,Low
343,13.29,3,Low
344,11.43,3,Low
345,0.91,3,Low
346,9.29,3,Low
347,8.46,3,Low
348,6.83,3,Low
349,10.1,3,Low
350,11.03,3,Low
351,12.0,3,Low
352,5.45,3,Low
353,2.99,3,Low
354,9.8,3,Low
355,2.6,3,Low
356,15.96,3,Low
357,5.99,3,Low
358,12.21,3,Low
359,3.25,3,Low
360,14.17,3,Low
361,4.02,3,Low
362,5.09,3,Low
363,10.96,3,Low
364,46.6,3,Medium
365,10.0,3,Low
366,7.45,3,Low
367,2.63,3,Low
368,7.81,3,Low
369,4.3,3,Low
370,12.85,3,Low
371,9.01,3,Low
372,10.12,3,Low
373,10.02,3,Low
374,4.56,3,Low
375,21.95,0,Low
376,17.01,3,Low
377,7.16,3,Low
378,8.57,3,Low
379,7.8,3,Low
380,20.87,3,Low
381,6.76,0,Low
382,7.85,3,Low
383,13.87,3,Low
384,7.09,3,Low
385,11.06,3,Low
386,2.94,3,Low
387,9.08,3,Low
388,12.1,3,Low
389,5.84,3,Low
390,4.09,3,Low
391,5.49,3,Low
392,3.44,3,Low
393,2.83,3,Low
394,9.37,2,Low
395,13.38,0,Low
396,6.33,3,Low
397,8.75,3,Low
398,1.12,3,Low
399,2.7,3,Low
400,11.92,3,Low
401,17.48,3,Low
402,5.1,3,Low
403,8.01,3,Low
404,2.22,3,Low
405,12.21,3,Low
406,7.54,3,Low
407,7.34,3,Low
408,16.77,0,Low
409,6.84,3,Low
410,14.14,3,Low
411,45.74,3,Medium
412,3.96,3,Low
413,4.05,2,Low
414,8.61,3,Low
415,3.27,3,Low
416,6.23,3,Low
417,6.45,3,Low
418,10.77,3,Low
419,12.18,2,Low
420,10.37,3,Low
421,18.21,3,Low
422,3.88,3,Low
423,7.54,3,Low
424,3.21,3,Low
425,11.22,3,Low
426,11.12,0,Low
427,11.11,3,Low
428,15.63,3,Low
429,11.3,2,Low
430,9.88,3,Low
431,14.4,0,Low
432,9.77,2,Low
433,22.89,3,Low
434,11.78,3,Low
435,4.56,3,Low
436,7.03,3,Low
437,9.61,3,Low
438,21.22,3,Low
439,1.31,3,Low
440,10.28,3,Low
441,40.64,0,Medium
442,6.12,3,Low
443,13.9,3,Low
444,19.51,2,Low
445,9.74,3,Low
446,6.87,3,Low
447,16.04,2,Low
448,6.92,3,Low
449,4.76,3,Low
450,9.92,3,Low
451,2.79,3,Low
452,3.13,3,Low
453,54.26,3,Medium
454,6.86,3,Low
455,10.73,3,Low
456,34.1,2,Low
457,14.98,0,Low
458,28.97,3,Low
459,13.2,3,Low
460,4.37,2,Low
461,9.68,2,Low
462,3.92,2,Low
463,10.89,0,Low
464,9.7,3,Low
465,8.82,3,Low
466,5.56,3,Low
467,10.38,3,Low
468,17.17,3,Low
469,6.9,2,Low
470,11.15,3,Low
471,13.26,3,Low
472,5.74,3,Low
473,8.69,3,Low
474,8.48,3,Low
475,7.67,3,Low
476,7.75,3,Low
477,6.3,3,Low
478,2.84,3,Low
479,5.91,3,Low
480,4.12,3,Low
481,3.82,3,Low
482,15.41,3,Low
483,8.93,3,Low
484,18.79,2,Low
485,4.08,3,Low
486,11.56,0,Low
487,1.02,3,Low
488,14.05,3,Low
489,19.25,3,Low
490,7.5,3,Low
491,34.86,3,Low
492,3.92,3,Low
493,10.58,3,Low
494,8.45,2,Low
495,15.37,3,Low
496,3.73,3,Low
497,4.95,3,Low
498,9.74,0,Low
499,4.11,2,Low
500,4.84,3,Low
501,23.98,3,Low
502,27.47,3,Low
503,20.02,0,Low
504,6.25,3,Low
505,4.92,0,Low
506,2.87,2,Low
507,11.46,0,Low
508,12.47,3,Low
509,11.92,3,Low
510,18.62,3,Low
511,13.18,3,Low
512,7.28,2,Low
513,60.37,1,Medium
514,31.5,0,Low
515,7.12,3,Low
516,1.36,3,Low
517,16.75,0,Low
518,10.12,3,Low
519,11.38,2,Low
520,10.1,3,Low
521,9.17,3,Low
522,4.26,2,Low
523,3.76,3,Low
524,5.63,3,Low
525,12.24,2,Low
526,25.17,0,Low
527,23.92,3,Low
528,14.56,3,Low
